ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
BRETEA-E;89029;BRETEAU;47.573726, -0.437355;;;;0;;Europe/Paris;0
DESCAZ-E;25148;DESCAZEAUX;47.476786, -0.5661130000000001;;;;0;;Europe/Paris;1
LANGE-E;20985;LANGEVIN;47.518469, -0.6121250000000001;;;;0;;Europe/Paris;0
SARRIGNE;31023;LES PLANTES;47.502718, -0.3789680000000001;;;;0;;Europe/Paris;1
PLOTTIER;317864;PLOTTIERE;47.522342, -0.610902;;;;0;;Europe/Paris;1
BRAINARG;933848;CRÉMAILLÈRE D'ARGENT;47.465321, -0.433171;;;;0;;Europe/Paris;0
PRTLAUNA;20548;PORT LAUNAY;47.520718, -0.521638;;;;0;;Europe/Paris;0
INDUSTRI;11352;INDUSTRIE;47.490268, -0.5229540000000001;;;;0;;Europe/Paris;0
FOUDON-E;375171;FOUDON;47.492273, -0.42521;;;;0;;Europe/Paris;0
CLOSDUVA;900000;CLOS DU VAU;47.577249, -0.4581310000000001;;;;0;;Europe/Paris;0
LEMERCIE;15271;LEMERCIER;47.498671, -0.5226510000000001;;;;0;;Europe/Paris;0
AQVI-D5B;96211;AQUAVITA - CIRCULAIRE SENS B;47.493497, -0.5655280000000001;;;;0;;Europe/Paris;1
CHMART-E;2510;CHAMP DES MARTYRS;47.49006, -0.582625;;;;0;;Europe/Paris;1
PARCEXPO;12773;PARC EXPO CITE DE L'OBJET CONNECTE;47.496892, -0.4941570000000001;;;;0;;Europe/Paris;1
MORELLER;495;MORELLERIE;47.451387, -0.5449360000000001;;;;0;;Europe/Paris;1
HARENC-E;498256;HARENCHERES;47.448572, -0.615979;;;;0;;Europe/Paris;0
LALANDE;30783;LANDE;47.56229, -0.5854390000000002;;;;0;;Europe/Paris;0
WJVI-E;88442;JEAN VILAR;47.444519, -0.5625940000000001;;;;0;;Europe/Paris;0
PYRAM2-E;46871;PYRAMIDE;47.440815, -0.4885180000000001;;;;0;;Europe/Paris;1
MIRABEAU;9907;MIRABEAU;47.460082, -0.5503220000000001;;;;0;;Europe/Paris;1
SAVENNIE;25242;SAVENNIERES MAIL;47.383363, -0.6557920000000002;;;;0;;Europe/Paris;0
GDMOTT-E;431561;GRAND MOTTAY;47.575729, -0.4775080000000001;;;;0;;Europe/Paris;0
1HOPA;24731;CHU - HOPITAL;47.481385, -0.5541580000000002;;;;0;;Europe/Paris;1
CHABLANC;9247;CHAMPS BLANCS;47.517229, -0.4752630000000001;;;;0;;Europe/Paris;1
TURNER;908973;TURNER;47.511416, -0.5987850000000001;;;;0;;Europe/Paris;0
IMTEC;27425;BOUZINAC;47.503319, -0.5097290000000001;;;;0;;Europe/Paris;0
CHAUMI-E;12609;CHAUMIÈRES;47.52444, -0.523314;;;;0;;Europe/Paris;0
SEPSON-E;26591;7 SONNETTES;47.485737, -0.5151470000000001;;;;0;;Europe/Paris;1
CRETAU-E;747849;CRETAUDIÈRE;47.47555, -0.366299;;;;0;;Europe/Paris;0
MASSON-E;16344;MASSON;47.532101, -0.5677670000000001;;;;0;;Europe/Paris;0
LIZE;14789;LIZE;47.486849, -0.5731630000000001;;;;0;;Europe/Paris;1
JUSTIC-E;4918;JUSTICES;47.453331, -0.5262720000000001;;;;0;;Europe/Paris;1
BIOPOL;13485;BIOPOLE;47.482233, -0.4965330000000001;;;;0;;Europe/Paris;1
GDPRESSO;39547;GRAND PRESSOIR;47.399434, -0.527715;;;;0;;Europe/Paris;1
BIAIS-E;841213;BIAIS;47.584779, -0.5394340000000001;;;;0;;Europe/Paris;0
SLEZIN-E;13324;TRELAZE SAINT LEZIN;47.450351, -0.4882810000000001;;;;0;;Europe/Paris;0
MOLINE-E;25255;MOLINERIE;47.52141, -0.6667260000000002;;;;0;;Europe/Paris;0
BARONN-E;693977;SAINT AUBIN LA SALLE;47.489312, -0.5040800000000001;;;;0;;Europe/Paris;1
LAREU-E;13697;LA REUX;47.46941, -0.510411;;;;0;;Europe/Paris;1
CHAERIGN;7264;CHATEAU ERIGNE;47.406476, -0.5257530000000001;;;;0;;Europe/Paris;0
CORMI-E;8668;CORMIERS;47.458047, -0.5153830000000001;;;;0;;Europe/Paris;1
DEUXCR;12239;DAGUENET;47.474811, -0.5284440000000001;;;;0;;Europe/Paris;1
TARTELUS;653022;TARTELUSSE;47.558722, -0.437693;;;;0;;Europe/Paris;0
BODI2;338446;BODINIER;47.472724, -0.5535700000000001;;;;0;;Europe/Paris;1
RIDEREAU;567791;RIDEREAU;47.477937, -0.391282;;;;0;;Europe/Paris;0
ORGEM2-E;29706;ORGEMONT;47.447803, -0.5422070000000001;;;;0;;Europe/Paris;0
BMARZE-E;10489;BASSE MARZELLE;47.341696, -0.5250020000000001;;;;0;;Europe/Paris;0
AUBRIAIS;18000;AUBRIAIS;47.515797, -0.667935;;;;0;;Europe/Paris;0
LHOIRI11;32088;LAC DE MAINE - L'HOIRIE;47.467056, -0.6182620000000001;;;;0;;Europe/Paris;0
VALDEMAI;31960;VAL DE MAINE;47.443062, -0.61284;;;;0;;Europe/Paris;1
TROIPA-E;22352;TROIS PAROISSES;47.441772, -0.5346700000000001;;;;0;;Europe/Paris;1
FMEDECIN;10330;FACULTE DE MEDECINE;47.48718, -0.5522850000000001;;;;0;;Europe/Paris;1
THULEAU;17278;THULEAU;47.476489, -0.5283900000000001;;;;0;;Europe/Paris;1
AULNAIES;193602;AULNAIES;47.586747, -0.4399370000000001;;;;0;;Europe/Paris;0
CROISE-E;29354;CROISETTE;47.450963, -0.6004320000000001;;;;0;;Europe/Paris;1
GRANCLOS;51638;GRAND CLOS;47.479709, -0.4136310000000001;;;;0;;Europe/Paris;0
2HSAU;29280;HAUTS DE SAINT AUBIN;47.492242, -0.5604600000000001;;;;0;;Europe/Paris;1
GUINEZ-E;13857;GUINEZERT;47.461784, -0.6310820000000001;;;;0;;Europe/Paris;0
1ANRO;3935;ANGERS - ROSERAIE;47.443849, -0.5538860000000001;;;;0;;Europe/Paris;1
ANBRUEL;491458;ANDRE BRUEL;47.526587, -0.4681240000000001;;;;0;;Europe/Paris;1
DUREL1-E;749082;DURELLERIES 1;47.428923, -0.6413670000000001;;;;0;;Europe/Paris;0
2HDVA;184082;HÔTEL DE VILLE;47.47166, -0.5466690000000001;;;;0;;Europe/Paris;1
CCADEA-E;3576;CROIX CADEAU;47.520229, -0.6095510000000001;;;;0;;Europe/Paris;1
HAUCOU-E;652182;HAUT COUDRAY;47.530522, -0.624129;;;;0;;Europe/Paris;1
GENTRIC;45617;GENTRIC;47.447382, -0.4857160000000001;;;;0;;Europe/Paris;0
CNFPT;22225;CNFPT;47.472384, -0.5997780000000001;;;;0;;Europe/Paris;1
SEURAT;8147;CENTRE COMMERCIAL MOLLIERE;47.460866, -0.6171800000000001;;;;0;;Europe/Paris;1
BEAUC-AR;367337;BEAUCOUZE HAUTE ROCHE;47.470313, -0.625168;;;;0;;Europe/Paris;1
JULESVER;11240;JULES VERNE;47.447479, -0.562224;;;;0;;Europe/Paris;1
LAPOINTE;16943;LA POINTE;47.410287, -0.6198390000000001;;;;0;;Europe/Paris;1
VERN-ARA;62000;AURIOL;47.491128, -0.5650860000000001;;;;0;;Europe/Paris;1
GIRARD-E;793256;GIRARD;47.490633, -0.5818850000000001;;;;0;;Europe/Paris;0
LEDENIER;6046;MAISON DU LAC;47.466007, -0.5989000000000001;;;;0;;Europe/Paris;1
I.U.T.;598651;IUT;47.480263, -0.6024720000000001;;;;0;;Europe/Paris;1
DEBUSS-E;612;DEBUSSY;47.48842, -0.5158300000000001;;;;0;;Europe/Paris;0
CIOUEST;16897;CIMETIERE DE L'OUEST;47.478481, -0.5696840000000001;;;;0;;Europe/Paris;1
STRAS2-E;23061;STRASBOURG;47.457138, -0.5543220000000001;;;;0;;Europe/Paris;1
WVERN;27317;VERNEAU;47.492391, -0.5675280000000001;;;;0;;Europe/Paris;1
MENA-E;6305;MENARD;47.445717, -0.4936860000000001;;;;0;;Europe/Paris;1
FMITTE-E;8589;SAINT SERGE UNIVERSITE;47.476581, -0.551174;;;;0;;Europe/Paris;1
PERN23-C;31888;PERRAUDIERE D 723;47.43847, -0.6985230000000001;;;;0;;Europe/Paris;0
TURMIN-E;393447;TURMINIÈRE;47.56669, -0.5457490000000002;;;;0;;Europe/Paris;0
BACHEM-E;157642;BAS CHEMIN;47.424905, -0.3842690000000001;;;;0;;Europe/Paris;0
MORSU-E;77571;MOREL;47.475634, -0.6087540000000001;;;;0;;Europe/Paris;0
MLYAUT-E;22959;MARECHAL LYAUTEY;47.491833, -0.5837370000000001;;;;0;;Europe/Paris;1
GILLIER;4265;GILLIER;47.475051, -0.5258880000000001;;;;0;;Europe/Paris;1
CLINANJO;21645;CLINIQUE DE L'ANJOU;47.44443, -0.5391160000000002;;;;0;;Europe/Paris;1
ACAS-7E;19485;ACACIAS;47.504151, -0.5865190000000001;;;;0;;Europe/Paris;0
CHENERON;980954;CHENE ROND;47.39594, -0.5364200000000001;;;;0;;Europe/Paris;0
BOULLE;7334;BOULLE;47.486717, -0.6285790000000001;;;;0;;Europe/Paris;1
MURSHV-E;30163;HOTEL DE VILLE;47.401887, -0.5371970000000001;;;;0;;Europe/Paris;1
FRANCAIS;26601;FRANCAISERIE;47.520938, -0.4657690000000001;;;;0;;Europe/Paris;1
MATER89;10739;MARTINIERE;47.608591, -0.5636320000000001;;;;0;;Europe/Paris;0
2AARD;22259;AVRILLE - ARDENNE;47.511546, -0.5959310000000001;;;;0;;Europe/Paris;1
EMPIRE;15565;EMPIRE;47.423122, -0.5928350000000001;;;;0;;Europe/Paris;0
POMANJO;18732;POMANJOU;47.500232, -0.5208510000000001;;;;0;;Europe/Paris;0
ETAS-E;15715;ETAS;47.524532, -0.6199720000000001;;;;0;;Europe/Paris;0
BOURG-E;14979;BOURG;47.590757, -0.5552170000000001;;;;0;;Europe/Paris;0
PLGRAMMO;17275;MAIRIE DU PLESSIS GRAMMOIRE;47.499175, -0.4294780000000001;;;;0;;Europe/Paris;0
MORELI-E;6659;MORELLERIE;47.451671, -0.5453340000000001;;;;0;;Europe/Paris;1
LAMART;79764;LAREVELLIERE;47.471223, -0.5318220000000001;;;;0;;Europe/Paris;1
LOTISSEM;29903;LOTISSEMENT DE VILLEVEQUE;47.556619, -0.424478;;;;0;;Europe/Paris;0
GRANDPIN;21061;GRAND PIN;47.473291, -0.6319530000000001;;;;0;;Europe/Paris;1
PIGNONIE;26672;PIGNONIERE;47.487289, -0.4982630000000001;;;;0;;Europe/Paris;1
MADELE-E;10442;MADELEINE;47.459044, -0.5355890000000001;;;;0;;Europe/Paris;1
CEZAN-E;16647;CEZANNE;47.469635, -0.4919360000000001;;;;0;;Europe/Paris;1
DSCAZE-E;25257;DESCAZEAUX;47.476226, -0.5658920000000001;;;;0;;Europe/Paris;1
PATIO-E;129375;PATIO;47.510819, -0.6517330000000001;;;;0;;Europe/Paris;0
DURVIL-E;22678;DUMONT D'URVILLE;47.445056, -0.5572350000000001;;;;0;;Europe/Paris;1
POUIL-AR;666530;POUILLE;47.432846, -0.5321800000000001;;;;0;;Europe/Paris;1
BLITOURN;8555;BLITOURNE;47.527103, -0.434297;;;;0;;Europe/Paris;0
GUILLEB.;13455;GUILLEBOTTE;47.437417, -0.5137;;;;0;;Europe/Paris;1
BEAUCOUZ;28687;BEAUCOUZE HAUTE ROCHE;47.470313, -0.625168;;;;0;;Europe/Paris;0
MONTECLA;15647;MONTECLAIR;47.464498, -0.6048030000000001;;;;0;;Europe/Paris;1
CITRON-E;4467;CITRONNELLE;47.479321, -0.6337460000000001;;;;0;;Europe/Paris;1
PEPINIER;10185;GARE DE TRELAZE;47.452448, -0.4700170000000001;;;;0;;Europe/Paris;1
LOR-FO-A;3039;FOCH MAISON BLEUE;47.46963, -0.5485740000000001;;;;0;;Europe/Paris;1
PALLUAU;227710;PALLUAU;47.425504, -0.335457;;;;0;;Europe/Paris;0
PTELANDE;671903;LA PETITE LANDE;47.451239, -0.431977;;;;0;;Europe/Paris;0
JEANRO-E;256324;JEAN ROSTAND;47.448195, -0.5010260000000001;;;;0;;Europe/Paris;0
REVERI-E;13109;REVERIES;47.482106, -0.5778550000000001;;;;0;;Europe/Paris;1
PTGRCH-E;24018;PETITS GRANDCHAMPS;47.464034, -0.7143410000000001;;;;0;;Europe/Paris;0
STLEOB-E;6958;SAINT LEONARD;47.459544, -0.5219710000000001;;;;0;;Europe/Paris;1
BANCSTMA;20610;BANCHAIS;47.486004, -0.5123750000000001;;;;0;;Europe/Paris;0
BICHON;27019;BICHON;47.47873, -0.564193;;;;0;;Europe/Paris;1
RENAR-E;19748;RENARDIERE;47.483725, -0.6744660000000001;;;;0;;Europe/Paris;0
GARECO-E;23799;GARE D'ECOUFLANT;47.503879, -0.5197120000000001;;;;0;;Europe/Paris;0
MAISNEUV;475623;MAISON NEUVE;47.454514, -0.428178;;;;0;;Europe/Paris;0
ESTAMINE;579551;ESTAMINET;47.565738, -0.5038770000000001;;;;0;;Europe/Paris;0
WTBOT;45969;TERRA BOTANICA;47.494083, -0.5747160000000001;;;;0;;Europe/Paris;1
ECHATS-E;30592;ECHATS;47.481018, -0.6319170000000001;;;;0;;Europe/Paris;1
HAUCOUD;318097;HAUT COUDRAY;47.530417, -0.6240380000000001;;;;0;;Europe/Paris;1
BRAI8MAI;789925;PLACE DU 8 MAI;47.446118, -0.412392;;;;0;;Europe/Paris;0
EPIRE;27409;EPIRE;47.398581, -0.6346150000000002;;;;0;;Europe/Paris;0
VILBRG-E;645260;BEAUREGARD;47.533845, -0.43472;;;;0;;Europe/Paris;0
CLINAN-E;508501;CLINIQUE DE L'ANJOU;47.444458, -0.5390460000000001;;;;0;;Europe/Paris;1
PELLEG-E;243747;EGLISE DE PELLOUAILLES;47.522438, -0.443502;;;;0;;Europe/Paris;0
MORETT;2925;MORETTE;47.604318, -0.5610010000000001;;;;0;;Europe/Paris;0
FOUQUETT;1497;FOUQUETTERIE;47.467921, -0.7051790000000001;;;;0;;Europe/Paris;0
VERDUN;31885;SAINT BARTHELEMY VERDUN;47.468191, -0.4932420000000001;;;;0;;Europe/Paris;1
VICTHUGMONT-CV;;VICTOR HUGO MONTREUIL;47.52822, -0.6117720000000001;;;;0;;Europe/Paris;0
PICASSO;28488;REPUBLIQUE TRELAZE;47.450689, -0.5055580000000001;;;;0;;Europe/Paris;0
VALHAUY;7522;VALENTIN HAUY;47.485742, -0.5560690000000001;;;;0;;Europe/Paris;1
CITESO-E;3002;LA CITÉ-CHABADA;47.488508, -0.5356630000000001;;;;0;;Europe/Paris;1
HTEBRUY;901720;HAUTES BRUYÈRES;47.59125, -0.4521290000000001;;;;0;;Europe/Paris;0
NOUELLE;27066;NOUELLE;47.544926, -0.6697100000000001;;;;0;;Europe/Paris;1
BELLAN-E;32424;BELLANGERIE;47.482347, -0.6845340000000001;;;;0;;Europe/Paris;0
BOIRES;904270;LES BOIRES;47.41085, -0.296001;;;;0;;Europe/Paris;0
FONTAI-E;26615;FONTAINE FENEU;47.569663, -0.5903490000000001;;;;0;;Europe/Paris;0
SABLE-E;19865;LA SABLE;47.587048, -0.590393;;;;0;;Europe/Paris;0
AURI-A5B;173687;AURIOL;47.491289, -0.5649350000000001;;;;0;;Europe/Paris;1
SOULBEAU;584958;BEAUREPAIRE SOULAIRE;47.556439, -0.5555750000000002;;;;0;;Europe/Paris;0
LANGEVI;20461;LANGEVIN;47.518469, -0.6121250000000001;;;;0;;Europe/Paris;0
PRUILL-E;430244;PRUILLE;47.577058, -0.6627550000000001;;;;0;;Europe/Paris;0
DEBUSSY;32335;DEBUSSY;47.48831, -0.5161130000000002;;;;0;;Europe/Paris;0
QUANTI-E;83420;QUANTINIERE;47.455323, -0.4715740000000001;;;;0;;Europe/Paris;1
ACADEMIE;913399;ACADEMIE;47.467432, -0.5591450000000001;;;;0;;Europe/Paris;0
FRESN-AR;29527;LE FRESNE;47.442411, -0.5836510000000001;;;;0;;Europe/Paris;0
DAUTEL;22320;DAUTEL;47.44282, -0.4836880000000001;;;;0;;Europe/Paris;0
MENDESFR;10353;MENDES FRANCE;47.472555, -0.5462390000000001;;;;0;;Europe/Paris;1
JEBOUT-E;12854;JEAN BOUTTON;47.438891, -0.5072440000000001;;;;0;;Europe/Paris;1
ZABRUNEL;1456;ZA BRUNELLERIES;47.439073, -0.6201810000000001;;;;0;;Europe/Paris;1
LAGLOUTI;1095;GLOUTIERE;47.509386, -0.6462200000000001;;;;0;;Europe/Paris;0
JUIGN-E;15158;JUIGNE;47.539135, -0.616141;;;;0;;Europe/Paris;0
CTRETR-E;6456;CENTRE DE TRI;47.452567, -0.5707920000000001;;;;0;;Europe/Paris;1
CFPA;13734;AFPA;47.471545, -0.5233500000000001;;;;0;;Europe/Paris;1
LABUIS-E;24945;LA BUISSAIE;47.396155, -0.5523760000000001;;;;0;;Europe/Paris;1
MBRIANT;809387;MARIUS BRIANT;47.47364, -0.5772070000000001;;;;0;;Europe/Paris;1
LESSARTS;25628;LES ESSARTS;47.469086, -0.736728;;;;0;;Europe/Paris;0
WIGAN-E;16501;WIGAN;47.459477, -0.6081280000000001;;;;0;;Europe/Paris;1
RMOINES;6489;ROCHE AUX MOINES;47.393847, -0.6457400000000001;;;;0;;Europe/Paris;0
CLOUET-E;6874;CLOUET;47.480639, -0.5663620000000001;;;;0;;Europe/Paris;1
DELESCL;27348;DELESCLUZE;47.466083, -0.6048920000000001;;;;0;;Europe/Paris;1
MONPL-AR;368528;MONPLAISIR;47.49115, -0.5282970000000001;;;;0;;Europe/Paris;1
CITESO-A;68887;MARCHE MONPLAISIR;47.488508, -0.5356630000000001;;;;0;;Europe/Paris;1
CHATEN-E;2767;CHATENAY;47.482569, -0.5211800000000001;;;;0;;Europe/Paris;1
EMPIRE-E;15466;EMPIRE;47.422909, -0.5933060000000001;;;;0;;Europe/Paris;0
HULLETER;25810;HULLETERIES;47.465353, -0.7209320000000001;;;;0;;Europe/Paris;0
HDVSUB;159454;HÔTEL DE VILLE;47.471981, -0.5463100000000001;;;;0;;Europe/Paris;1
REPMON-E;31175;REPUBLIQUE MONTREUIL;47.528952, -0.6109780000000001;;;;0;;Europe/Paris;1
BOURGLAC;28777;BOURG LA CROIX;47.450806, -0.5237370000000001;;;;0;;Europe/Paris;0
MOLINERI;8190;MOLINERIE;47.521471, -0.6668900000000001;;;;0;;Europe/Paris;0
BOSQUE-E;9680;BOSQUET;47.409779, -0.524831;;;;0;;Europe/Paris;0
PLATFLEU;14518;PLATEAU FLEURI;47.529687, -0.5980730000000001;;;;0;;Europe/Paris;1
LABROS-E;19344;BROSSE;47.532455, -0.5221450000000001;;;;0;;Europe/Paris;0
ERIGNE-E;31182;ERIGNE;47.400598, -0.5305110000000001;;;;0;;Europe/Paris;1
WJMOU;26583;JEAN MOULIN;47.490693, -0.5522120000000001;;;;0;;Europe/Paris;1
ACAD-PLA;33737;ACADEMIE;47.46843, -0.5586860000000001;;;;0;;Europe/Paris;0
ALLARD-E;5528;ALLARD;47.448897, -0.5386980000000001;;;;0;;Europe/Paris;1
LORETT-E;9272;LORETTE;47.451214, -0.5475960000000001;;;;0;;Europe/Paris;0
BEADIM;8391;MAIRIE DE BEAUCOUZE;47.474534, -0.6301260000000001;;;;0;;Europe/Paris;0
ESP-LON;16227;ESPACE LONGUENEE;47.540102, -0.6729930000000001;;;;0;;Europe/Paris;1
DGELIN-E;81163;DANIEL GELIN;47.445152, -0.5271250000000001;;;;0;;Europe/Paris;1
GRIMOR-E;24527;GRIMORELLE;47.529422, -0.507299;;;;0;;Europe/Paris;0
CCHEMI-E;30919;CROIX DE CHEMINEE;47.467526, -0.5028740000000002;;;;0;;Europe/Paris;0
LABA32-E;12328;LA BARRE VILLEVEQUE;47.552193, -0.429209;;;;0;;Europe/Paris;0
LABRUYER;2726;LA BRUYERE;47.476594, -0.573899;;;;0;;Europe/Paris;1
ALLONNEA;16562;ALLONNEAU;47.485151, -0.527028;;;;0;;Europe/Paris;1
COLTRIAR;23328;COLTRIE;47.485318, -0.6758360000000001;;;;0;;Europe/Paris;0
CHANT-AR;21417;BOUCHEMAINE CHANTOURTEAU;47.406142, -0.6231430000000001;;;;0;;Europe/Paris;0
RESIDE-E;209683;RESIDENCE;47.572736, -0.4869690000000001;;;;0;;Europe/Paris;0
DIONNEAU;28948;DIONNEAU;47.438788, -0.5300020000000001;;;;0;;Europe/Paris;1
1BASC;4827;BASCULE;47.508686, -0.591659;;;;0;;Europe/Paris;1
CIAVRI-E;25684;CIMETIERE D'AVRILLE;47.506563, -0.5904180000000001;;;;0;;Europe/Paris;1
BOISRA-E;4209;BOISRAME;47.478256, -0.5846970000000001;;;;0;;Europe/Paris;1
MAI4VEN;30964;MAIL DES QUATRE VENTS;47.531792, -0.5285540000000001;;;;0;;Europe/Paris;0
DARWIN-E;12749;DARWIN;47.474255, -0.60523;;;;0;;Europe/Paris;0
BAUDON-E;732813;BAUDON;47.539292, -0.5793890000000002;;;;0;;Europe/Paris;0
VOLTAI-E;11140;VOLTAIRE;47.484519, -0.5310530000000001;;;;0;;Europe/Paris;0
SORGES;27536;SORGES;47.43187, -0.4852210000000001;;;;0;;Europe/Paris;0
CIMEPO-E;26172;CIMETIERE DES PONTS DE CE;47.434322, -0.5302060000000001;;;;0;;Europe/Paris;1
AUBRY;7225;AUBRY;47.440983, -0.5520690000000001;;;;0;;Europe/Paris;0
1BOTA;24128;TERRA BOTANICA;47.494224, -0.5746170000000002;;;;0;;Europe/Paris;1
DESJAR-E;8104;DESJARDINS;47.477862, -0.530132;;;;0;;Europe/Paris;1
LECOTE-E;26708;LE COTEAU;47.398038, -0.5490550000000001;;;;0;;Europe/Paris;1
RONCIERE;3607;RONCIERES;47.435943, -0.5134760000000002;;;;0;;Europe/Paris;1
GARDON-E;38569;GARDONNE;47.521629, -0.4709260000000001;;;;0;;Europe/Paris;0
ECUIL-E;3439;ECUILLE;47.616502, -0.560938;;;;0;;Europe/Paris;0
GRANDC-E;85459;GRAND CLAYE;47.387094, -0.5384380000000001;;;;0;;Europe/Paris;0
GAUGUIN;168097;PAUL GAUGUIN;47.526766, -0.4646290000000001;;;;0;;Europe/Paris;1
LAMARE;25707;LA MARE;47.468452, -0.4653010000000001;;;;0;;Europe/Paris;0
GENDRI-E;787054;GENDRIE;47.498822, -0.324752;;;;0;;Europe/Paris;0
2HARA;14426;FOCH HARAS;47.466749, -0.5525670000000001;;;;0;;Europe/Paris;1
ARCADES;24569;ARCADES;47.506927, -0.5168580000000002;;;;0;;Europe/Paris;0
ANLEROY;29097;ANDRE LEROY;47.464813, -0.548672;;;;0;;Europe/Paris;1
FREMUR-E;19151;FREMUR;47.458583, -0.558089;;;;0;;Europe/Paris;1
MEMBROLL;3150;BOURG DE LA MEMBROLLE;47.558544, -0.6701300000000001;;;;0;;Europe/Paris;1
DEUVAL-E;575510;DEUX VALLÉES;47.568263, -0.4987450000000001;;;;0;;Europe/Paris;0
BRISEPOT;2222;BRISEPOTIERE;47.479537, -0.527283;;;;0;;Europe/Paris;1
2JVIL;4486;JEAN VILAR;47.44488, -0.562255;;;;0;;Europe/Paris;1
POMANJ-E;19679;POMANJOU;47.500202, -0.520708;;;;0;;Europe/Paris;0
ANFRAN-E;7909;ANNE FRANK;47.463465, -0.5377660000000001;;;;0;;Europe/Paris;1
WALCOU-E;20782;WALCOURT;47.463395, -0.4862290000000001;;;;0;;Europe/Paris;1
JEANNA-E;226219;COLLÈGE JEANNE D'ARC;47.520419, -0.4655940000000001;;;;0;;Europe/Paris;0
PORTSG-E;9108;LE PORT;47.421563, -0.573992;;;;0;;Europe/Paris;0
BRASSE-E;25269;BRASSENS;47.494884, -0.5872350000000001;;;;0;;Europe/Paris;1
REPUBLIQ;30691;REPUBLIQUE;47.471006, -0.5539930000000001;;;;0;;Europe/Paris;1
CITEUN-E;27788;CITE UNIVERSITAIRE;47.478676, -0.5981760000000002;;;;0;;Europe/Paris;1
STSYL-AR;397;CARREAUX;47.512716, -0.4710420000000001;;;;0;;Europe/Paris;0
CFPA-E;14322;AFPA;47.47146, -0.5228370000000001;;;;0;;Europe/Paris;1
BEAUC AR;29830;BEAUCOUZE HAUTE ROCHE;47.470313, -0.625168;;;;0;;Europe/Paris;0
LAMAIL-E;505607;MAILLÉE;47.485132, -0.391329;;;;0;;Europe/Paris;0
LOIRE-E;700127;LOIRE;47.417791, -0.5234420000000001;;;;0;;Europe/Paris;1
WBAM-E;40910;BAMAKO;47.452427, -0.5560570000000001;;;;0;;Europe/Paris;0
PIECE;22296;PIECE DU MOULIN;47.507364, -0.5966220000000001;;;;0;;Europe/Paris;1
COLOMB;74257;COLOMBIER;47.482464, -0.4905800000000001;;;;0;;Europe/Paris;1
CHVERT;23049;CHENE VERT;47.470251, -0.5148980000000001;;;;0;;Europe/Paris;1
ZICOPER;389482;COPERNIC;47.516842, -0.6104320000000001;;;;0;;Europe/Paris;0
MOULANDE;871271;MOULIN DES LANDES;47.53006, -0.4763380000000001;;;;0;;Europe/Paris;0
MAREJU-E;17469;MARECHAL JUIN;47.449747, -0.568123;;;;0;;Europe/Paris;1
BICHO.-E;991;BICHON;47.479316, -0.5647670000000001;;;;0;;Europe/Paris;1
FORGES;3128;FORGES;47.386438, -0.6451650000000001;;;;0;;Europe/Paris;0
MERMOZ-E;432615;COLLEGE MERMOZ;47.451851, -0.56693;;;;0;;Europe/Paris;0
ROUSSIER;4742;ROUSSIÈRE;47.574652, -0.650673;;;;0;;Europe/Paris;0
GIRARD;111619;GIRARD;47.490591, -0.5816970000000001;;;;0;;Europe/Paris;0
MAIL-HDV;7828;MAIL;47.47108, -0.546309;;;;0;;Europe/Paris;1
GDPERIGN;13901;GRAND PERIGNE;47.473809, -0.6146640000000001;;;;0;;Europe/Paris;1
RAINIERE;476568;RAINIERE;47.578677, -0.4769150000000001;;;;0;;Europe/Paris;0
LESGAR-E;23118;LES GARES;47.465478, -0.5552230000000001;;;;0;;Europe/Paris;0
SAULAI-E;679503;SAULAIS;47.47016, -0.4617850000000001;;;;0;;Europe/Paris;0
CRBLANCH;20575;CROIX BLANCHE;47.480857, -0.5171780000000001;;;;0;;Europe/Paris;0
STMART-E;1531;BOURG DE SAINT MARTIN;47.431407, -0.7030740000000001;;;;0;;Europe/Paris;0
LABARR-E;24553;LA BARRE;47.472404, -0.5969650000000001;;;;0;;Europe/Paris;1
REDUMONT;432264;RENE DUMONT;47.493795, -0.5062860000000001;;;;0;;Europe/Paris;1
RBRIOLLA;24653;ROUTE DE BRIOLLAY;47.486404, -0.5328840000000001;;;;0;;Europe/Paris;1
TERNIERE;304;TERNIERE;47.505698, -0.5926350000000001;;;;0;;Europe/Paris;1
CARCITR;784;CARREFOUR ST SERGE;47.487174, -0.5436850000000001;;;;0;;Europe/Paris;1
EPINAY-E;729440;EPINAY;47.432609, -0.3772480000000001;;;;0;;Europe/Paris;0
CHAMFL;15711;CHAMPFLEUR;47.483024, -0.504334;;;;0;;Europe/Paris;0
AQUA-A5B;961964;AQUAVITA - CIRCULAIRE SENS B;47.493401, -0.5652850000000001;;;;0;;Europe/Paris;1
MONPEV-E;4984;MONPLAISIR;47.490681, -0.5275390000000001;;;;0;;Europe/Paris;0
MALNOU-E;863688;MALNOUE;47.369009, -0.517156;;;;0;;Europe/Paris;0
BOISHO-E;277487;BOIS DE L'HOPITAL;47.470435, -0.4592770000000001;;;;0;;Europe/Paris;0
LMARZELL;2200;HAUTE MARZELLE;47.343053, -0.5296080000000001;;;;0;;Europe/Paris;0
GRUICHE;306120;GRUICHE;47.553499, -0.4538000000000001;;;;0;;Europe/Paris;0
